"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109974","[R1.0]Auto - Mobile - Dashboard - Verify Dashboard screen","","Wed Apr 09 16:18:33 ICT 2025","passed","Wed Apr 09 16:20:23 ICT 2025","","Dashboard-ExistingStudy-NewParticipant - @Sanity @R1.0 @Dashboard @Debug","",""
"","67036","PA-2306: [R0.5]Auto - Web - Check Authentication functionality","","Wed Apr 09 16:03:35 ICT 2025","passed","Wed Apr 09 16:04:42 ICT 2025","","Web_R05_Functionality_Onboarding_Registration_Authentication_StudyUpdate @Regression @R0.5","",""
"","105258","[R1.0]Auto - Web - Activity - Verify functionality of media activities","","Wed Apr 09 16:14:02 ICT 2025","passed","Wed Apr 09 16:15:47 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Media - @Sanity @R1.0 @Activity","",""
"","108266","[R1.0]Auto - Web - Activity - Verify functionality of non-media activities","","Wed Apr 09 16:16:14 ICT 2025","passed","Wed Apr 09 16:18:03 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Non-Media - @Sanity @R1.0 @Activity","",""
"","97000","[R1.0]Auto - Web - Profile - Verify user can change password","","Wed Apr 09 16:45:44 ICT 2025","passed","Wed Apr 09 16:47:21 ICT 2025","","Profile-ExistingStudy-NewParticipant - @Sanity @R1.0 @Profile","",""
"","61724","PA-2305: [R0.5]Auto - Web - Check Registration functionality","","Wed Apr 09 16:02:33 ICT 2025","passed","Wed Apr 09 16:03:35 ICT 2025","","Web_R05_Functionality_Onboarding_Registration_Authentication_StudyUpdate @Regression @R0.5","",""
"","48905","[R1.0]Auto - Web - Profile - Verify Profile interface","","Wed Apr 09 16:44:56 ICT 2025","passed","Wed Apr 09 16:45:44 ICT 2025","","Profile-ExistingStudy-NewParticipant - @Sanity @R1.0 @Profile","",""
"","13762","[R1.0]Auto - Web - Activity - Verify data sync service works properly","","Wed Apr 09 16:15:47 ICT 2025","passed","Wed Apr 09 16:16:01 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Media - @Sanity @R1.0 @Activity","",""
"","8640","[R1.0]Auto - Web - Activity - Verify data sync service works properly","","Wed Apr 09 16:18:03 ICT 2025","passed","Wed Apr 09 16:18:11 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Non-Media - @Sanity @R1.0 @Activity","",""
"","36369","PA-2307: [R0.5]Auto - Web - Check Study Update functionality","","Wed Apr 09 16:04:42 ICT 2025","passed","Wed Apr 09 16:05:18 ICT 2025","","Web_R05_Functionality_Onboarding_Registration_Authentication_StudyUpdate @Regression @R0.5","",""
"","43392","PA-2272: [R0.5]Auto - Web - Check Onboarding functionality","","Wed Apr 09 16:01:50 ICT 2025","passed","Wed Apr 09 16:02:33 ICT 2025","","Web_R05_Functionality_Onboarding_Registration_Authentication_StudyUpdate @Regression @R0.5","",""
"","57647","[R1.0]Auto - Web - Notification - Verify user can receive unscheduled notification","","Wed Apr 09 16:21:37 ICT 2025","passed","Wed Apr 09 16:22:35 ICT 2025","","Notification-ExistingStudy-NewParticipant - @Sanity @R1.0 @Notification","",""
"","51148","[R1.0]Auto - Mobile - Learn - Verify Learn screen","","Wed Apr 09 16:20:35 ICT 2025","passed","Wed Apr 09 16:21:26 ICT 2025","","Learn-ExistingStudy-NewParticipant - @Sanity @R1.0 @Learn @Debug","",""
